season,player_name,total_plays,total_yards,total_tds,total_epa,avg_epa_per_play,pass_attempts,completions,pass_yards,pass_tds,interceptions,sacks,air_yards_total,yac_total,qb_epa_total,cpoe_avg,rush_attempts,rush_yards,rush_tds,rush_epa_total,rush_success_rate,fumbles,fumbles_lost,tackles_for_loss,first_down_rushes,avg_rush_epa,receptions,targets,rec_yards,rec_tds,air_yards_rec,yac_rec,rec_epa_total,yac_epa_total,air_epa_total,rec_success_rate,position.x,latest_team,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,draft_year,draft_round,draft_overall
2018,J.Develin,8,13,4,4.80833131988766,0.601041414985957,0,0,0,0,0,0,0,0,4.80833131988766,NA,8,13,4,4.80833131988766,0.75,0,0,0,7,0.601041414985957,0,0,0,0,0,0,0,0,0,NA,FB,NE,2,3.6,1.8,0.6,0.01,5.672235,2.836117,0.945372,2010,NA,NA
2018,C.Newton,627,3674,29,45.8770436777884,0.0731691286727086,501,320,3395,24,13,29,3380,1743,50.8793570306769,3.04269692840029,101,488,4,10.1910356712542,0.495049504950495,10,1,3,36,0.100901343279745,0,0,3395,0,0,0,0,0,0,NA,QB,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,J.Jones,2,12,0,0.469056783244014,0.234528391622007,0,0,0,0,0,0,0,0,0.469056783244014,NA,2,12,0,0.469056783244014,0.5,0,0,0,1,0.234528391622007,0,0,0,0,0,0,0,0,0,NA,WR,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,B.Gabbert,120,589,4,-21.3736578443741,-0.178113815369785,106,61,626,4,4,5,710,301,-21.3736578443741,-8.04031271525103,6,0,0,2.00376456684899,0.333333333333333,2,0,0,2,0.333960761141498,0,0,626,0,0,0,0,0,0,NA,QB,KC,2,4,2,1,0.011,6.302483,3.151242,1.575621,2011,1,10
2018,M.Pouncey,1,0,0,-2.01264540012926,-2.01264540012926,0,0,0,0,0,0,0,0,-2.01264540012926,NA,1,0,0,-2.01264540012926,0,1,0,0,0,-2.01264540012926,0,0,0,0,0,0,0,0,0,NA,C,LAC,2,15,7.5,10,0.042,23.634312,11.817156,15.756208,2011,1,15
2018,M.Ingram,158,729,6,-14.3519519320335,-0.0908351388103389,0,0,0,0,0,0,0,0,-14.3519519320335,NA,156,729,6,-12.2301651285608,0.416666666666667,3,1,9,38,-0.0783984944138509,0,0,0,0,0,0,0,0,0,NA,RB,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,A.Dalton,428,2508,22,42.4043911216104,0.0990756801906783,384,226,2566,21,11,21,2947,1142,47.7411160288866,-3.04161776431134,15,99,0,4.09742305650107,0.466666666666667,3,1,0,4,0.273161537100071,0,0,2566,0,0,0,0,0,0,NA,QB,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,S.Ridley,30,80,1,-13.6259534211713,-0.454198447372376,0,0,0,0,0,0,0,0,-13.6259534211713,NA,29,80,1,-12.5422693674918,0.206896551724138,1,1,4,3,-0.432492047154891,0,0,0,0,0,0,0,0,0,NA,RB,PIT,1,0.79,0.79,0,0.004,1.24474,1.24474,0,2011,3,73
2018,L.Stocker,1,0,0,-4.02553385647479,-4.02553385647479,0,0,0,0,0,0,0,0,-4.02553385647479,NA,1,0,0,-4.02553385647479,0,0,0,0,0,-4.02553385647479,0,0,0,0,0,0,0,0,0,NA,TE,MIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,B.Powell,82,343,0,-11.3186511906848,-0.138032331593718,0,0,0,0,0,0,0,0,-11.3186511906848,NA,80,343,0,-10.9913665257797,0.3,2,1,8,16,-0.137392081572246,0,0,0,0,0,0,0,0,0,NA,RB,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,A.Sherman,1,2,0,1.70108440076001,1.70108440076001,0,0,0,0,0,0,0,0,1.70108440076001,NA,1,2,0,1.70108440076001,1,0,0,0,1,1.70108440076001,0,0,0,0,0,0,0,0,0,NA,FB,KC,1,2,2,0,0.011,3.151242,3.151242,0,2011,5,136
2018,J.Rodgers,33,106,1,-4.89715741173131,-0.148398709446403,0,0,0,0,0,0,0,0,-4.89715741173131,NA,33,106,1,-4.89715741173131,0.303030303030303,0,0,5,7,-0.148398709446403,0,0,0,0,0,0,0,0,0,NA,RB,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,D.Lewis,161,517,1,-39.1013748280011,-0.242865682161498,0,0,0,0,0,0,0,0,-39.1013748280011,NA,155,517,1,-37.4633474664652,0.296774193548387,2,1,28,22,-0.241699015912679,0,0,0,0,0,0,0,0,0,NA,RB,NYG,4,19.8,4.95,5.75,0.028,31.197291,7.799323,9.059819,2011,5,149
2018,N.Paul,1,-3,0,-1.36052188603207,-1.36052188603207,0,0,0,0,0,0,0,0,-1.36052188603207,NA,1,-3,0,-1.36052188603207,0,0,0,1,0,-1.36052188603207,0,0,0,0,0,0,0,0,0,NA,TE,JAX,2,4.75,2.375,1.5,0.013,7.484199,3.742099,2.363431,2011,5,155
2018,D.Kilgore,1,0,0,-5.59252987080254,-5.59252987080254,0,0,0,0,0,0,0,0,-5.59252987080254,NA,1,0,0,-5.59252987080254,0,1,1,0,0,-5.59252987080254,0,0,0,0,0,0,0,0,0,NA,C,KC,3,11.75,3.925,4.825,0.022,18.513544,6.184312,7.60237,2011,5,163
2018,D.Harris,2,12,0,-0.809742343432247,-0.404871171716123,0,0,0,0,0,0,0,0,-0.809742343432247,NA,2,12,0,-0.809742343432247,0.5,0,0,1,1,-0.404871171716123,0,0,0,0,0,0,0,0,0,NA,WR,CHI,1,1.005,1.005,0.06,0.006,1.583499,1.583499,0.094537,2011,6,176
2018,T.Taylor,119,517,3,-13.1035370962041,-0.110113757110959,97,42,473,2,2,13,846,198,-13.1035370962041,-12.1381320967907,16,125,1,9.02954963222146,0.5625,4,0,1,6,0.564346852013841,0,0,473,0,0,0,0,0,0,NA,QB,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,J.Kelce,1,0,0,-1.39379241733695,-1.39379241733695,0,0,0,0,0,0,0,0,-1.39379241733695,NA,1,0,0,-1.39379241733695,0,1,0,0,0,-1.39379241733695,0,0,0,0,0,0,0,0,0,NA,C,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,N.Bellore,1,0,0,-1.48852571099997,-1.48852571099997,0,0,0,0,0,0,0,0,-1.48852571099997,NA,1,0,0,-1.48852571099997,0,0,0,0,0,-1.48852571099997,0,0,0,0,0,0,0,0,0,NA,LB,WAS,1,1.005,1.005,0.09,0.006,1.583499,1.583499,0.141806,2011,NA,NA
2018,P.DiMarco,1,9,0,1.16448030574247,1.16448030574247,0,0,0,0,0,0,0,0,1.16448030574247,NA,1,9,0,1.16448030574247,1,0,0,0,1,1.16448030574247,0,0,0,0,0,0,0,0,0,NA,RB,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,T.Pryor,1,-1,0,-1.07392833568156,-1.07392833568156,0,0,0,0,0,0,0,0,-1.07392833568156,NA,1,-1,0,-1.07392833568156,0,0,0,1,0,-1.07392833568156,0,0,0,0,0,0,0,0,0,NA,WR,BUF,1,4.5,4.5,2,0.025,7.090293,7.090293,3.151242,2011,3,NA
2018,J.Hekker,6,34,0,-0.158658967178781,-0.0264431611964636,5,3,31,0,0,0,54,20,-0.158658967178781,-0.644298195838928,1,3,0,-3.55889245582512,0,0,0,0,0,-3.55889245582512,0,0,31,0,0,0,0,0,0,NA,P,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,C.Keenum,692,3748,21,-22.7898190830211,-0.0329332645708396,620,365,3890,18,15,34,4369,1793,-14.6139451597892,-1.25201109836534,27,93,2,3.1723808853277,0.481481481481482,16,5,0,11,0.11749558834547,0,0,3888,0,0,0,0,0,0,NA,QB,CHI,2,36,18,25,0.102,56.722348,28.361174,39.390519,2012,NA,NA
2018,C.Beasley,1,0,0,-0.481403352401685,-0.481403352401685,1,0,0,0,0,0,11,0,-0.481403352401685,-43.790528178215,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,WR,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,D.Coleman,2,3,0,-0.111016997136176,-0.0555084985680878,0,0,0,0,0,0,0,0,-0.111016997136176,NA,2,3,0,-0.111016997136176,0.5,0,0,0,0,-0.0555084985680878,0,0,0,0,0,0,0,0,0,NA,FB,ARI,1,0.79,0.79,0,0.004,1.24474,1.24474,0,2012,NA,NA
2018,R.Streater,1,-11,0,-0.816200910951011,-0.816200910951011,0,0,0,0,0,0,0,0,-0.816200910951011,NA,1,-11,0,-0.816200910951011,0,0,0,1,0,-0.816200910951011,0,0,0,0,0,0,0,0,0,NA,WR,CLE,1,0.79,0.79,0,0.004,1.24474,1.24474,0,2012,NA,NA
2018,R.Streater,1,-11,0,-0.816200910951011,-0.816200910951011,0,0,0,0,0,0,0,0,-0.816200910951011,NA,1,-11,0,-0.816200910951011,0,0,0,1,0,-0.816200910951011,0,0,0,0,0,0,0,0,0,NA,WR,CLE,1,0.79,0.79,0,0.004,1.24474,1.24474,0,2012,NA,NA
2018,A.Morris,116,428,2,-21.9661858107195,-0.189363670782064,0,0,0,0,0,0,0,0,-21.9661858107195,NA,111,428,2,-17.3186828141681,0.342342342342342,2,1,18,24,-0.15602416949701,0,0,0,0,0,0,0,0,0,NA,RB,NYG,1,0.79,0.79,0,0.004,1.24474,1.24474,0,2012,6,173
2018,T.Cadet,11,17,0,-7.79628662898878,-0.708753329908071,0,0,0,0,0,0,0,0,-7.79628662898878,NA,11,17,0,-7.79628662898878,0.181818181818182,0,0,1,0,-0.708753329908071,0,0,0,0,0,0,0,0,0,NA,RB,CAR,1,0.88,0.88,0.045,0.005,1.386546,1.386546,0.070903,2012,NA,NA
2018,B.Bolden,8,91,2,1.63258327008225,0.204072908760281,0,0,0,0,0,0,0,0,1.63258327008225,NA,8,91,2,1.63258327008225,0.625,1,1,1,4,0.204072908760281,0,0,0,0,0,0,0,0,0,NA,RB,LV,1,0.88,0.88,0.17,0.005,1.386546,1.386546,0.267856,2012,NA,NA
2018,M.Ingram,1,0,0,-1.01993710469105,-1.01993710469105,0,0,0,0,0,0,0,0,-1.01993710469105,NA,1,0,0,-1.01993710469105,0,0,0,0,0,-1.01993710469105,0,0,0,0,0,0,0,0,0,NA,LB,MIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,R.Wilson,605,3718,39,109.941830788569,0.181722034361271,499,298,3681,36,7,52,4056,1483,109.941830788569,7.05901203934427,70,390,1,17.99648786483,0.528571428571429,14,2,0,25,0.257092683783285,1,1,3681,0,-10,-1,-2.70917897648178,-0.111575060291216,-2.59760391619056,0,QB,NYG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
